//  CHAIN NAME: 'chain0'
//  CHAIN LENGTH: 5051
//  SCAN INPUT: '/scan_in_0'
//  SCAN OUTPUT: '/scan_out_0'
cell#  chain   cell_type  inv   gate#   shift_clock     inv  cell_name  instance_name                                                                                                           lib_internal_pathname  pin_names  
-----  ------  ---------  ----  ------  -------------------  ---------  ----------------------------------------------------------------------------------------------------------------------  ---------------------  ---------  
57     chain0  MASTER     FFFF  581737  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_11_                                          (SI,Q)     
58     chain0  MASTER     FFFF  581736  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_30_                                          (SI,Q)     
59     chain0  MASTER     FFFF  581735  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_instr_16bit_ex_reg                                   (SI,Q)     
60     chain0  MASTER     FFFF  581734  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_31_                                          (SI,Q)     
61     chain0  MASTER     FFFF  581733  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_24_                                          (SI,Q)     
62     chain0  MASTER     FFFF  581732  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_22_                                          (SI,Q)     
63     chain0  MASTER     FFFF  581731  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_20_                                          (SI,Q)     
64     chain0  MASTER     FFFF  581730  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_15_                                          (SI,Q)     
65     chain0  MASTER     FFFF  581729  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_26_                                          (SI,Q)     
66     chain0  MASTER     FFFF  581728  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_2_                                           (SI,Q)     
67     chain0  MASTER     FFFF  581727  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_29_                                          (SI,Q)     
68     chain0  MASTER     FFFF  581726  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_10_                                          (SI,Q)     
69     chain0  MASTER     FFFF  581725  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_21_                                          (SI,Q)     
70     chain0  MASTER     FFFF  581724  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/micro_instr_reg_17_                                          (SI,Q)     
71     chain0  MASTER     FFFF  581723  /io_in_bus[28]  T    SDFFSHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_micro_seg_ex_reg_0_                                  (SI,Q)     
72     chain0  MASTER     FFFF  581722  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/arch_gpr_31_reg_1_                                           (SI,Q)     
73     chain0  MASTER     FFFF  581721  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/arch_gpr_31_reg_0_                                           (SI,Q)     
74     chain0  MASTER     FFFF  581720  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/arch_gpr_31_reg_4_                                           (SI,Q)     
75     chain0  MASTER     FFFF  581718  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/arch_gpr_31_reg_6_                                           (SI,Q)     
76     chain0  MASTER     FFFF  581717  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/arch_gpr_31_reg_2_                                           (SI,Q)     
77     chain0  MASTER     FFFF  581715  /io_in_bus[28]  T    SDFFRHQX4  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/rd0_data_exd_reg_30_                                         (SI,Q)     
78     chain0  MASTER     FFFF  581714  /io_in_bus[28]  T    SDFFRHQX2  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/rd0_data_exd_reg_31_                                         (SI,Q)     
79     chain0  MASTER     FFFF  581713  /io_in_bus[28]  T    SDFFRXL    /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/nsnpc_exd_reg_15_                                            (SI,Q)     
80     chain0  MASTER     FFFF  581712  /io_in_bus[28]  T    SDFFRXL    /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/rd0_data_exd_reg_26_                                         (SI,Q)     
81     chain0  MASTER     FFFF  581711  /io_in_bus[28]  T    SDFFRXL    /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/ieu_ctl/nsnpc_exd_reg_25_                                            (SI,Q)     
